,Name,G,GS,MP,eFG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
2853,Jay Williams,-0.73602790270595,-0.380096448073783,1.0639517419466515,-0.09652634212060068,-0.6701368534755275,0.1133113870924862,-0.1436195813223431,2.2038371014827933,1.3681175508006527,-0.3356895047430456,1.8392567031392357,0.6093336215294302
2854,Jayson Williams,0.4535719400432364,0.059612379604695696,0.44279771771800086,-0.15295089983533558,3.4222389211368314,1.444753762489775,2.1522456125982123,-0.5970788065461298,-0.39130122684748053,0.6646517649020623,0.08334762332453763,0.1565461941943378
2855,Jerome Williams,0.7866598960130086,0.06384034910160415,0.5670285225637307,0.43010286321692465,2.293307672967905,1.2450374061801817,1.636847303758904,-0.4604487622520359,1.3681175508006527,-0.3356895047430456,-0.06297813332668738,0.012477467314990184
2856,John Williams,0.3346119557683178,-0.2405734546758042,0.9623083561637812,0.025726866261324446,0.8821436127567466,1.0453210498705883,1.0277402114942666,0.974166702835949,1.8708086301286906,0.16448113007950843,0.814976406580662,0.732821101711728
2857,Johnathan Williams,-0.8877018826564712,-0.6084068009068393,-0.13318146838492986,1.2670671359854915,1.5877256428623259,0.046739268322621694,0.5591962943676226,-0.6653938286931766,-0.6426467665114997,-0.08560418733176867,-0.501955403280362,-0.008103779382059395
2858,Jordan Williams,-0.8311958901258848,-0.5872669534222971,-0.21223743510493986,0.47712332797920376,0.8821436127567466,0.046739268322621694,0.32492433580430086,-0.8020238729872704,-0.1399556871834616,-0.08560418733176867,-0.7946069165828117,-0.39914746662600287
2859,Justin Williams,-0.813351892484647,-0.6041788314099309,-0.8333914593335905,1.0977934628412866,0.7410272067356306,-0.08640496921710732,0.18436116066630756,-1.0069689394284111,-0.8939923061755186,0.16448113007950843,-0.9409326732340365,-0.6461224269905986
2860,Kenny Williams,-0.18583797543445124,-0.5788110144284802,-0.6188109782364204,0.514739699789027,0.458794394693399,-0.352693444296565,-0.09676518960967866,-0.5970788065461298,-0.6426467665114997,0.6646517649020623,-0.7946069165828117,-0.35798497323190354
2861,Kenrich Williams,-0.822273891305266,-0.48579568549649427,0.770315294129471,0.19500053940552972,0.458794394693399,1.0453210498705883,0.8871770363562735,0.22270145921843312,1.1167720111366333,0.16448113007950843,-0.35562964662913704,-0.09042876617025808
2862,Kevin Williams,-0.18583797543445124,-0.5534431974470294,-0.6075172687049902,-0.19056727164515885,-0.38790404143329593,-0.8186982756856162,-0.7058722818743159,-0.18718867366384837,0.11138985248055733,-0.5857748221543226,-0.06297813332668738,-0.33740372653485373
2863,Lorenzo Williams,-0.206655972682562,0.09343613557996329,0.5896159416265907,0.11976779578588263,2.5755404850101367,1.0453210498705883,1.5899929120462395,-0.32381871795794215,-0.1399556871834616,2.6653343041922786,-0.20930388997791222,-0.7284474137787972
2864,Lou Williams,1.8245857588116736,-0.14333015624690987,0.8945460989752013,0.2420210041678088,-0.6701368534755275,-0.15297708798697168,-0.3310371481730006,1.2474267914241366,0.8654264714726144,-0.3356895047430456,0.9613021632318867,1.5766522162907637
2865,Marcus Williams,-0.3553559530262103,-0.5661271059377548,-0.16706259697922,-0.12473862097796866,-0.8112532594966435,-0.352693444296565,-0.5184547150236583,0.905851680688902,-0.39130122684748053,-0.8358601395655997,0.668650649929437,-0.19333499965550632
2866,Marcus Williams,-0.9204158783320738,-0.6084068009068393,-1.5448951598136813,-1.3002502400349445,-0.8112532594966435,-0.951842513225345,-0.9401442404376379,-0.8703388951343174,-1.1453378458395376,-0.5857748221543226,-1.5262356998389361,-1.1194911010227406
2867,Marvin Williams,2.056557728147765,2.888123973036448,1.3462944802324017,0.411294677312013,0.458794394693399,1.3781816437199104,1.1214489949195954,-0.11887365151680139,0.6140809318085955,0.41456644749078536,-0.06297813332668738,0.8151460884999266
2868,Matt Williams,-0.9501558744008035,-0.6084068009068393,-1.4658391930936712,-0.3692450377418189,-1.2346024775599909,-1.1515588695349384,-1.2212705907136243,-1.0069689394284111,-1.3966833855035565,-0.8358601395655997,-1.0872584298852614,-0.9960036208404427
2869,Micheal Williams,0.26918396441711256,0.5077771462769913,0.9623083561637812,0.1385759816907948,-0.24678763541218013,-0.15297708798697168,-0.19047397303500754,2.9553023451003093,2.8761907887847666,-0.3356895047430456,1.8392567031392357,0.918052321985175
2870,Mike Williams,-0.89662388147709,-0.6084068009068393,-1.330314678716511,-1.1591888457481077,-0.9523696655177591,-0.7521261569157518,-0.846435457012309,-0.9386539172813642,-1.1453378458395376,-0.08560418733176867,-1.3799099431877113,-1.2018160878109392
2871,Mo Williams,1.4736538052006638,1.6112771849700966,1.4140567374209816,0.3454660266448223,-0.5290204474544117,0.1798835058623504,-0.04991079789701443,2.3404671457768873,0.8654264714726144,-0.5857748221543226,1.8392567031392357,1.370839749320267
2872,Monty Williams,0.39706594751265006,-0.14755812574381832,0.0023430459922301897,0.2420210041678088,0.31767798867228336,-0.21954920675683617,-0.04991079789701443,-0.18718867366384837,0.11138985248055733,-0.08560418733176867,0.2296733799757623,-0.049266272776158734
2873,Pete Williams,-0.7865858960227904,-0.5618991364408463,-0.7430417830821505,1.3705121584625055,-0.10567122939106417,-0.21954920675683617,-0.19047397303500754,-0.8020238729872704,-0.6426467665114997,0.16448113007950843,-1.0872584298852614,-0.8107724005669958
2874,Ray Williams,0.9888918692803703,0.40630587835118853,1.3011196421066815,-0.002485412596042488,0.458794394693399,0.2464556246322149,0.32492433580430086,2.9553023451003093,3.1275363284487856,-0.08560418733176867,3.15618851300026,1.8442084233524092
2875,Reggie Williams,0.8223478912954842,1.0658691198689065,1.1317139991352314,0.07274733102360353,0.599910800714515,0.44617198094180843,0.5123419026549584,0.7009066142477615,1.8708086301286906,0.9147370823133393,1.1076279198831116,1.2267710224409196
2876,Reggie Williams,-0.3464339542055914,-0.4731117770057689,0.1604549794322506,0.7122256517905993,-0.5290204474544117,-0.08640496921710732,-0.23732836474767197,0.017756392777292386,-0.39130122684748053,-0.5857748221543226,-0.501955403280362,0.25945242767958604
2877,Rickey Williams,-0.8282218905190118,-0.6084068009068393,-0.9915033927736107,-0.38805322364673106,-0.8112532594966435,-1.0184146319952094,-0.9401442404376379,-0.4604487622520359,-0.1399556871834616,-0.5857748221543226,-0.20930388997791222,-0.6667036736876483
2878,Rob Williams,-0.5040559333698585,-0.1898378207129028,0.6009096511580209,-0.09652634212060068,-0.38790404143329593,-0.28612132552670055,-0.3310371481730006,2.682042256512122,1.3681175508006527,-0.5857748221543226,1.8392567031392357,0.4241024012559832
2879,Robert Williams,-0.8639098858014874,-0.5999508619130224,-0.8898600069907405,2.3485378255179095,-0.10567122939106417,-0.21954920675683617,-0.19047397303500754,-0.8703388951343174,-0.6426467665114997,2.4152489867810014,-1.0872584298852614,-0.8313536472640455
2880,Sam Williams,-0.19475997425507013,-0.31244893612324787,0.10398643177510053,0.411294677312013,1.0232600187778624,0.5793162184815371,0.7466138612182804,-0.5970788065461298,0.6140809318085955,2.1651636693697243,0.2296733799757623,-0.049266272776158734
2881,Scott Williams,1.2595258335058102,0.5162330852708082,-0.031538082602059925,0.11036370283342682,1.164376424798978,0.6458883372514016,0.8403226446436093,-0.5970788065461298,-0.1399556871834616,0.6646517649020623,-0.501955403280362,-0.29624123314075457
2882,Sean Williams,-0.551639927079826,-0.48579568549649427,-0.25741227323065996,0.514739699789027,0.599910800714515,0.046739268322621694,0.23121555237897198,-0.8020238729872704,-0.6426467665114997,2.1651636693697243,-0.20930388997791222,-0.48147245341420136
2883,Shammond Williams,0.007471999012291541,-0.4900236549934027,-0.02024437307062975,0.19500053940552972,-0.8112532594966435,-0.4858376818362939,-0.6121634984489871,0.6325915921007145,0.11138985248055733,-0.8358601395655997,-0.06297813332668738,-0.152172506261407
2884,Shawne Williams,-0.025241996663311082,-0.36318457008614924,0.04751788411795047,0.307849654834999,-0.10567122939106417,0.1133113870924862,0.043797985528314445,-0.5287637843990829,-0.39130122684748053,0.41456644749078536,-0.6482811599315869,-0.19333499965550632
2885,Shelden Williams,0.11453598485971832,-0.16869797322836055,-0.13318146838492986,0.06334323807114772,0.8821436127567466,0.5793162184815371,0.6529050777929515,-0.6653938286931766,-0.1399556871834616,0.41456644749078536,-0.35562964662913704,-0.41972871332305245
2886,Sly Williams,-0.052007993125167774,-0.380096448073783,0.5670285225637307,0.22321281826289666,1.0232600187778624,0.3795998621719439,0.6060506860802872,0.3593315035125269,1.3681175508006527,-0.3356895047430456,1.1076279198831116,0.8974710752881253
2887,Terrence Williams,-0.5040559333698585,-0.5703550754346632,0.2733920747465507,-0.16235499278779142,-0.6701368534755275,0.7124604560212662,0.32492433580430086,0.6325915921007145,-0.1399556871834616,-0.5857748221543226,0.668650649929437,0.11538370080023844
2888,Travis Williams,-0.819299891698393,-0.6084068009068393,-0.8559788783964506,0.12917188873833846,0.599910800714515,-0.6189819193760228,-0.23732836474767197,-0.6653938286931766,-0.39130122684748053,-0.5857748221543226,-0.35562964662913704,-0.6872849203846979
2889,Troy Williams,-0.7449499015265688,-0.5365313194593957,-0.04283179213348969,0.47712332797920376,-0.24678763541218013,-0.01983285044724281,-0.09676518960967866,-0.5287637843990829,0.6140809318085955,-0.08560418733176867,-0.35562964662913704,-0.11101001286730766
2890,Walt Williams,1.1465138484446376,1.1208327233287165,1.1204202896038016,0.3548701195972781,0.31767798867228336,0.5793162184815371,0.46548751094229396,0.5642765699536675,0.8654264714726144,0.6646517649020623,1.2539536765343362,1.0827022955615724
2891,Corliss Williamson,1.4855498036281556,0.6303882616873363,0.691259327409461,0.31725374778745485,0.8821436127567466,0.2464556246322149,0.46548751094229396,-0.18718867366384837,0.11138985248055733,-0.08560418733176867,0.814976406580662,0.9386335686822245
2892,Kevin Willis,3.2758975669656807,3.158714020838589,1.1543014181980913,0.2984455618825432,2.857773297052368,2.310191306498013,2.573935138012192,-0.392133740104989,0.3627353921445763,0.41456644749078536,1.1076279198831116,1.144446035652721
2893,Bill Willoughby,0.492233934932585,-0.4223761430428675,0.1152801413065303,0.1479800746432506,0.7410272067356306,0.3130277434020794,0.46548751094229396,-0.4604487622520359,-0.39130122684748053,0.6646517649020623,-0.06297813332668738,-0.11101001286730766
2894,Dedric Willoughby,-0.8847278830495983,-0.6041788314099309,0.40891658912371076,-0.3222245729795398,-0.6701368534755275,-0.28612132552670055,-0.4247459315983295,0.7692216363948083,0.8654264714726144,-0.5857748221543226,0.668650649929437,0.2182899342854867
2895,D.J. Wilson,-0.7508979007403147,-0.595722892416114,-0.3477619494821001,0.5335478856939386,-0.24678763541218013,0.3795998621719439,0.18436116066630756,-0.4604487622520359,-0.6426467665114997,-0.08560418733176867,-0.7946069165828117,-0.4608912067171518
2896,Jamil Wilson,-0.9144678791183278,-0.5661271059377548,0.18304239849511053,1.6902513188460033,-0.9523696655177591,-0.08640496921710732,-0.3778915398856651,-0.5287637843990829,-0.6426467665114997,0.41456644749078536,-0.7946069165828117,0.09480245410318887
2897,Michael Wilson,-0.8639098858014874,-0.6084068009068393,-0.6865732354250005,-0.17175908574024776,-0.5290204474544117,-0.951842513225345,-0.846435457012309,-0.050558629369754575,-0.1399556871834616,-0.3356895047430456,-0.20930388997791222,-0.6461224269905986
2898,Nikita Wilson,-0.9144678791183278,-0.6084068009068393,-1.4771329026251012,-1.4319075413693259,-1.093486071538875,-0.951842513225345,-1.0338530238629668,-0.8703388951343174,-1.3966833855035565,-0.8358601395655997,-1.0872584298852614,-1.0783286076286414
2899,Othell Wilson,-0.5813799231485557,-0.502707563484128,-0.06541921119634964,0.03513095921378079,-0.5290204474544117,-0.5524098006061584,-0.5653091067363227,1.2474267914241366,0.8654264714726144,-0.5857748221543226,0.522324893278212,-0.48147245341420136
2900,Ricky Wilson,-0.8877018826564712,-0.6041788314099309,0.09269272224367035,-0.19056727164515885,-1.093486071538875,-0.6855540381458872,-0.846435457012309,0.974166702835949,1.1167720111366333,-0.5857748221543226,-0.06297813332668738,-0.2756599864437048
2901,Trevor Wilson,-0.6527559137135068,-0.5534431974470294,-0.1218877588534999,-0.002485412596042488,0.8821436127567466,-0.08640496921710732,0.23121555237897198,-0.32381871795794215,-0.1399556871834616,-0.5857748221543226,0.08334762332453763,-0.17275375295845657
2902,Kyle Wiltjer,-0.9174418787252009,-0.6084068009068393,-1.5336014502822513,-0.2563959223123496,-0.8112532594966435,-1.084986750765074,-1.0338530238629668,-0.9386539172813642,-0.8939923061755186,-0.5857748221543226,-0.9409326732340365,-1.16065359441684
