Name,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scooter McCray,Career,NBA,77.0,8.0,11.6,1.1,2.5,0.423,0.0,0.0,0.0,1.1,2.5,0.423,0.423,0.8,1.2,0.611,0.9,1.6,2.5,1.0,0.3,0.3,0.9,1.5,2.9
Erik McCree,Career,NBA,4.0,0.0,2.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0
Chris McCullough,Career,NBA,59.0,4.0,9.0,1.3,3.1,0.426,0.3,0.8,0.306,1.1,2.3,0.47,0.467,0.4,0.7,0.5479999999999999,0.7,1.2,1.9,0.3,0.5,0.3,0.3,0.9,3.3
John McCullough,Career,NBA,8.0,0.0,2.9,1.1,1.6,0.6920000000000001,0.0,0.0,0.0,1.1,1.6,0.6920000000000001,0.6920000000000001,0.4,0.6,0.6,0.1,0.4,0.5,0.4,0.3,0.0,0.4,0.4,2.6
Clint McDaniel,Career,NBA,12.0,0.0,5.9,0.7,1.9,0.348,0.2,0.5,0.33299999999999996,0.5,1.4,0.353,0.391,1.0,1.3,0.75,0.3,0.6,0.8,0.6,0.4,0.0,0.2,0.8,2.5
Xavier McDaniel,Career,NBA,870.0,529.0,29.0,6.5,13.4,0.485,0.1,0.3,0.261,6.4,13.1,0.491,0.489,2.5,3.5,0.718,2.4,3.7,6.1,2.0,0.9,0.5,2.2,2.9,15.6
K.J. McDaniels,Career,NBA,148.0,16.0,14.1,1.9,4.6,0.41200000000000003,0.5,1.6,0.29,1.4,2.9,0.479,0.46399999999999997,1.1,1.4,0.7759999999999999,0.6,1.5,2.2,0.6,0.5,0.6,1.0,1.4,5.3
Doug McDermott,Career,NBA,341.0,14.0,19.9,2.9,6.4,0.45899999999999996,1.1,2.7,0.40399999999999997,1.8,3.7,0.5,0.545,0.8,1.0,0.825,0.4,1.8,2.1,0.8,0.2,0.1,0.6,1.4,7.8
Ben McDonald,Career,NBA,176.0,75.0,21.0,2.6,5.6,0.46799999999999997,0.1,0.3,0.22699999999999998,2.6,5.4,0.479,0.473,0.7,1.0,0.727,1.2,2.0,3.2,1.3,0.4,0.1,0.8,2.8,6.0
Michael McDonald,Career,NBA,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
Hank McDowell,Career,NBA,206.0,1.0,9.0,1.1,2.5,0.451,0.0,0.0,0.0,1.1,2.4,0.457,0.451,0.7,1.0,0.71,0.9,1.3,2.3,0.5,0.2,0.1,0.6,1.3,2.9
Antonio McDyess,Career,NBA,1015.0,645.0,27.6,5.0,10.0,0.49700000000000005,0.0,0.1,0.11699999999999999,5.0,10.0,0.499,0.49700000000000005,2.1,3.1,0.67,2.4,5.1,7.5,1.3,0.8,1.1,1.6,3.0,12.0
Jim McElroy,Career,NBA,418.0,17.0,24.3,3.9,8.4,0.46799999999999997,0.0,0.2,0.20600000000000002,3.9,8.3,0.47100000000000003,0.469,2.0,2.6,0.764,0.6,1.4,2.0,3.5,0.9,0.3,2.1,1.7,9.9
Ivan McFarlin,Career,NBA,11.0,0.0,3.7,0.5,1.2,0.385,0.0,0.1,0.0,0.5,1.1,0.41700000000000004,0.385,0.5,0.6,0.7140000000000001,0.6,0.4,1.0,0.1,0.0,0.0,0.1,0.7,1.4
Mitch McGary,Career,NBA,52.0,2.0,10.7,1.9,3.6,0.527,0.0,0.1,0.0,1.9,3.5,0.544,0.527,0.6,1.0,0.58,1.1,2.4,3.5,0.3,0.3,0.3,0.7,1.6,4.4
JaVale McGee,Career,NBA,633.0,249.0,17.4,3.4,6.0,0.57,0.0,0.0,0.07400000000000001,3.4,6.0,0.573,0.57,1.2,2.0,0.588,1.9,3.2,5.1,0.4,0.4,1.6,1.0,2.2,8.0
Mike McGee,Career,NBA,520.0,136.0,17.8,4.0,8.2,0.48700000000000004,0.6,1.7,0.354,3.4,6.6,0.521,0.523,0.9,1.6,0.597,1.0,1.1,2.1,1.2,0.7,0.1,1.2,1.9,9.6
George McGinnis,Career,TOT,842.0,4.0,33.5,7.6,16.6,0.45799999999999996,0.2,0.6,0.273,7.5,16.2,0.462,0.461,4.9,7.4,0.664,3.7,7.2,11.0,3.7,1.9,0.5,4.0,3.8,20.2
Tracy McGrady,Career,NBA,938.0,703.0,32.7,7.2,16.4,0.435,1.2,3.4,0.33799999999999997,6.0,13.0,0.461,0.47,4.1,5.5,0.746,1.4,4.2,5.6,4.4,1.2,0.9,2.2,1.8,19.6
Rodney McGruder,Career,NBA,162.0,112.0,23.5,2.5,6.1,0.414,1.0,3.0,0.348,1.5,3.2,0.47700000000000004,0.498,0.6,0.9,0.662,1.0,2.2,3.2,1.6,0.6,0.2,0.8,1.7,6.7
Dominic McGuire,Career,NBA,342.0,84.0,15.6,1.1,2.7,0.419,0.0,0.0,0.188,1.1,2.7,0.423,0.42,0.5,0.7,0.6579999999999999,1.0,2.4,3.4,1.2,0.5,0.5,0.7,1.5,2.7
